	Language	Source	Date	Text
24574	Ukranian	unian.net	2011/04/07	"Як повідомляв УНІАН, 29 грудня 2010 року у Києві була зареєстрована благодійна організація ""Муніципальна лікарняна каса"". Цього ж дня у банку ""Київська Русь"" було відкрито розрахунковий рахунок 2600694706001, на який усі, хто бажає стати членом лікарняної каси, можуть вносити членські внески."
116968	Ukranian	unian.net	2011/05/20	«Сьогодні був з`їзд і заступника голови Київської міської організації на нього не пустили, мотивувавши, що його не було в списках. Те саме відбулося і з деякими іншими делегатами», - сказав він.
60619	Ukranian	unian.net	2011/04/29	Він також зазначив, що посилювати ІТ-освіту насамперед потрібно в так званих «кластерах», тобто у вузах тих міст, де ІТ-спеціальності вже викладаються на високому рівні. Це - Київ, Харків, Львів, Донецьк і Луганськ.
133937	Ukranian	unian.net	2011/07/23	«Мене, щоправда, у цьому контексті ніхто не згадує — будівництво розпочалося після мене. Але дозвіл-то Київрада дала при мені. Я про це ще не говорив. Але зобов'язаний сказати правду, щоб остаточно поставити хрест на цьому ганебному об'єкті», — сказав він.
173051	Ukranian	unian.net	2011/07/26	Влітку 2010 р. Київський райсуд ухвалив рішення узяти під варту С.КАЗАЧЕНКА і В.ВОЛКОВА.
1953	Ukranian	unian.net	2011/07/25	Він зазначив, що будівництво дороги та реконструкція дамби проводились у рамках підготовки області до проведення Гран-прі України чемпіонату світу з перегонів на моторних човнах у класі «Формула-1», що відбудеться 29-30 липня 2011 року у місті Вишгород на Київському водосховищі.
217223	Ukranian	unian.net	2011/08/07	По Київській області мінлива хмарність. Вночі без опадів, вдень короткочасний дощ, місцями гроза. Вітер західний, 5-10 м/с. Температура вночі - 13-18°, вдень - 24-29°.
82997	Ukranian	unian.net	2011/03/31	За його словами, з цим рішенням складна ситуація щодо його виконання, оскільки воно вступає в суперечність із чинним законодавством і викликає протести підприємців. О.ПОПОВ звернув увагу, що вже пройшли акції протесту торгуючих у МАФах, а також є звернення громадських організацій національного рівня щодо того, що це рішення Київради потрібно корегувати. За словами керівника КМДА, ця корекція може стосуватися як термінів набуття чинності документа, так і підходів до реалізації згаданої продукції.
140869	Ukranian	unian.net	2011/05/19	Також у Київському зоопарку підкреслюють, що його закриття входить у протиріччя з чинним законодавством України. Крім того, за словами авторів заяви, голова Київської міської державної адміністрації Олександр ПОПОВ категорично заперечує можливість закриття, перенесення та забудови Київського зоопарку.
61841	Ukranian	unian.net	2011/04/06	Київський окружний адміністративний суд розпочав розгляд справи за позовом Новопетрівської сільської ради Вишгородського району Київської області щодо заборони проведення акції руху «Стоп цензурі!» біля резиденції Президента України Віктора ЯНУКОВИЧА «Межигір’я».
299764	Ukranian	unian.net	2011/05/25	Водночас джерела у Київради підтверджують, що В.СУПРУНЕНКО був затриманий в Італії.
106165	Ukranian	unian.net	2011/04/19	«Тому що сьогоднішня Київрада дискредитувала себе вже багато раз, і мера, який має відстоювати інтереси киян, ми також не бачимо», - сказав В.КЛИЧКО.
96396	Ukranian	unian.net	2011/07/23	"У 2007 році будівництво в районі станції метро ""Театральна"" було визнане небезпечним для метро. Після цього Київрада скасувала своє попереднє рішення про землевідведення, але забудовник з цим не погодився, і оскаржив його в суді."
173546	Ukranian	unian.net	2011/04/04	«Для мене залишається загадкою, чому Олександр Павлович незадоволений роботою депутатського корпусу. Адже всі ці дев’ять місяців адміністрація користувалась фактично безапеляційною підтримкою Київради», - відзначив секретар Київради.
182105	Ukranian	unian.net	2011/04/16	У Генеральної прокуратури України поки немає підстав для порушення кримінальних справ проти мера Києва Леоніда ЧЕРНОВЕЦЬКОГО та секретаря Київради Олеся ДОВГОГО.
156302	Ukranian	unian.net	2011/07/17	При Київській міській державній адміністрації створено державну надзвичайну протиепідемічну комісію.
128103	Ukranian	unian.net	2011/08/04	Як повідомили УНІАН у прес-службі Київської міської державної адміністрації, під час акції кияни та гості столиці зможуть проконсультуватись щодо стану свого здоров’я з різними фахівцями: ендокринологом, офтальмологом, стоматологом, синологом, дієтологом, невропатологом та іншими лікарями. Мешканці також матимуть змогу отримати консультації стосовно можливостей оздоровлення, відмови від тютюнокуріння, схуднення, профілактики цукрового діабету, соціально небезпечних хвороб, вірусного гепатиту, захворювань горла. Протягом акції громадян ознайомлюватимуть з роботою сімейних лікарів, клінік, свої поради безкоштовно надаватимуть досвідчені психологи.
291015	Ukranian	unian.net	2011/04/07	Довідка УНІАН. «Всеукраїнський банк розвитку» (місто Київ) зареєстрований у квітні 2009 р.
238778	Ukranian	unian.net	2011/04/06	Про це повідомляє прес-служба О.БРИГИНЦЯ, який є й головою робочої групи Київради з вивчення ситуації, що склалась навколо комунального закладу «Театрально-видовищний заклад культури «Київська мала опера».
155707	Ukranian	unian.net	2011/05/27	У Києві та області без опадів. Вітер південний, 5-10 м/с. Температура на Київщині вночі 8-13°, вдень 23-28°. У столиці температура вночі 10-12°, вдень 25-27°.
274265	Ukranian	unian.net	2011/05/07	Як повідомили УНІАН у прес-службі голови комісії Київради з питань культури і туризму Олександра БРИГИНЦЯ, про це йдеться у листі-заяві спілки, надісланій депутату.
283780	Ukranian	unian.net	2011/04/26	Учасники прес-конференції: автор проекту «Парк Київська Русь» Володимир ЯНЧЕНКО, представник київського мотоклубу «Skulls MC» Олександр ЛЄТОВ, представник мотоклубу «Skulls MC», актор «Студії Квартал-95» Олександр ПІКАЛОВ, директор Ліги каскадерів України Назар МАЙБОРОДА.
88302	Ukranian	unian.net	2011/07/19	Про це заявила депутат Київради з фракції «УДАР Віталія Кличка» Марія ІОНОВА, яка на минулому засіданні ради звернулася до голови КМДА Олександра ПОПОВА з вимогою вирішити питання на користь лікарні, повідомили УНІАН у прес-службі фракції.
52953	Ukranian	unian.net	2011/01/07	Про це повідомив фахівець Київського центру мікрохірургії ока професор Юрій КОНДРАТЕНКО в інтерв`ю УНІАН.
264946	Ukranian	unian.net	2011/04/20	Як передає кореспондент УНІАН, про це він сказав сьогодні під час сесії Київради.
231923	Ukranian	unian.net	2011/06/17	Сьогодні, у день святкування 100-річчя з дня народження письменника і києвознавця В.Некрасова та 70-річчя з дня народження видатного українського актора І.Миколайчука комісія КМДА з питань перейменувань та пам’ятних знаків прийняла рішення про увічнення пам’яті цих відомих киян, повідомили УНІАН у прес-службі цієї комісії, голови комісії Київради з питань культури та туризму Олександра БРИГИНЦЯ.
145716	Ukranian	unian.net	2011/07/05	До Харкова для участі в урочистостях з нагоди 90-річчя з дня народження митрополита Харківського і Богодухівського НИКОДИМА прибув Митрополит Київський і всієї України, Предстоятель Української Православної Церкви Московського патріархату (УПЦ МП) ВОЛОДИМИР.
145881	Ukranian	unian.net	2011/04/26	Час проведення семінару – 26 квітня, вівторок, 19.00-21.00. Адреса – м. Київ, вул. Хрещатик, 4.
291616	Ukranian	unian.net	2011/04/26	У повідомленні зазначається, що серед нагороджених був народний депутат Іван ПЛЮЩ, який у 1986 році працював головою виконкому Київської обласної ради. І.ПЛЮЩ пригадав події тих днів, і висловив жаль, що тема Чорнобиля в Україні почала відкрито обговорюватися лише з 1990 року, коли у грудні цього року парламент заслухав інформацію про екологічну ситуацію після аварії на АЕС.
70561	Ukranian	unian.net	2011/04/04	"Так, рішенням Київської міської ради від 1 жовтня 2007 року всупереч вимогам Земельного кодексу, Закону ""Про природно-заповідний фонд України"" та Житлового кодексу передано безоплатно у приватну власність зазначеному кооперативу землі природно-заповідного фонду для будівництва житла. При цьому засновниками цього кооперативу були лише 4 фізичні особи, що не потребували поліпшення житлових умов. У подальшому вказаний кооператив передав земельні ділянки, які були надані йому у приватну власність, до статутного фонду інших товариств."
71927	Ukranian	unian.net	2011/04/15	Cьогодні, 15 квітня, співробітники СБУ провели обшуки в приміщеннях Головного управління екології та охорони природних ресурсів Київської міської державної адміністрації.
268391	Ukranian	unian.net	2011/04/18	Завтра, 19 квітня, у зв`язку з прибуттям до Києва офіційних делегацій для участі у Київському саміті з безпечного та інноваційного використання атомної енергії ДАІ планує часткове обмеження в пересуванні транспорту та пішоходів.
121126	Ukranian	unian.net	2011/05/13	"Національний технічний університет України ""Київський політехнічний інститут"" очолює рейтинг українських вищих навчальних закладів ""Компас""."
63388	Ukranian	unian.net	2011/08/07	– Суддя Кірєєв, якщо його можна так називати, – каже Тимошенко, – за час попередньої роботи за два роки в районному суді Київської області з 32 рішень у кримінальних справах 20 прийняв з повним порушенням закону. Він покривав і випускав на волю представників наркомафії, убивць, людей, що здійснювали розбій та інші злочини. 20 вироків, які він виніс, – це справи, у яких повністю були доведені злочини, а він закрив кримінальні справи і випустив (злочинців) на свободу».
1098	Ukranian	unian.net	2011/04/29	Мушу сказати, що ювілей у Молдові – надто тяжка для здоров’я річ. І сідав я на московський поїзд, який іде через Київ, в не найліпшому стані глибокого «відходняку». Але навіть крізь сутінковий стан свідомості пробивалися дуже цікаві враження.
215805	Ukranian	unian.net	2011/08/07	Наразі це є один із пріоритетних інвестиційних проектів, який передбачається реалізувати у 2 етапи – за рахунок коштів двох траншів позики від ЄБРР. Зокрема, автомобільні дороги М-06 Київ – Чоп, М-07 Київ – Ковель – Ягодин входять до переліку об’єктів, що готуються до проведення в Україні Євро–2012. Тому ремонт цих двох доріг відноситься до робіт, що фінансуватимуться за рахунок першого траншу позики ЄБРР.
171864	Ukranian	unian.net	2011/07/05	"Молодіжна громадська організація ""Київський клуб ""Красная звезда"" подала до КМДА заявку, в якій просить включити організовану нею військово-історичну реконструкцію подій 1945 р. до загального плану проведення заходів з відзначення Дня Перемоги. Організація має намір 8 травня на мототрековому стадіоні ""Пирогів"" провести масштабне батально-історичне дійство ""Зустріч на Ельбі"", в якому візьмуть участь декілька сотень учасників військово-історичних клубів України. Крім того, 9 травня організація хоче о 9.00 розпочати святкову ходу учасників реконструкції військових подій вулицею Хрещатик із залученням військово-історичної техніки."
278756	Ukranian	unian.net	2011/01/04	– Покарати потрібно не стрілочників, а саме тих, хто організовував цю грандіозну аферу. У цьому залі люди стали мільярдерами. Причетні до цього керівники Київради і КМДА, вони не мають морального права обіймати ці посади і повинні бути притягнені до відповідальності, — заявив під аплодисменти Попов.
205294	Ukranian	unian.net	2011/04/25	Як повідомили УНІАН у прес-групі Управління СБУ у Житомирській області, днями Житомирський районний суд виніс вирок у кримінальній справі, порушеній СБУ стосовно трьох членів організованої злочинної групи, які протягом 2009-2010 років налагодили стійку схему придбання, зберігання, перевезення та збуту оптових партій метамфетаміну на території Київської, Житомирської, Волинської та Івано-Франківської областей.
174353	Ukranian	unian.net	2011/04/28	Зважаючи на те, що останнім часом збільшилась кількість випадків, коли через недбалість однієї людини страждають тисячі пасажирів громадського транспорту, КП «Київпастранс» звертається до власників автотранспорту з проханням ставитися з повагою до людей, які користуються міським пасажирським транспортом, дотримуватись правил дорожнього руху та бути уважними, особливо у місцях, де працює громадський електричний транспорт.
254799	Ukranian	unian.net	2011/07/23	Слідство у цій справі доручене прокуророві Київського району міста Сімферополя.
54606	Ukranian	unian.net	2011/07/06	"Як повідомляв УНІАН, вчора газета ""Сегодня"" (№ 122) написала, що Київська міська державна адміністрація рекомендує підприємствам скоректувати літній графік робочого дня. При цьому видання стверджувало, що інформація надана в прес-службі КМДА. Зокрема, КМДА нібито рекомендувала починати робочий день о 7.00 і йти на перерву об 11.00. Також йшлося, що київська влада вважає, що наступна частина робочого дня може початися о 17.00 і тривати до 21.00."
126156	Ukranian	unian.net	2011/02/06	Координаційна рада з питань захисту української мови при Київській міській організації товариства «Меморіал» ім. В.Стуса закликає голову столичної міської державної адміністрації Олександра ПОПОВА не закривати у місті україномовні класи у школах та групи в дитячих садках.
51619	Ukranian	unian.net	2011/04/14	За цей час у «Парку Київська Русь» відбудеться 5 історичних міжнародних фестивалів: «Київська Русь XIII ст.» (21-22 травня), «Лицарство XV ст.- штурм фортеці» (18-19) червня, «Билини стародавнього Києва – IX-XI ст.» (27-28 серпня), «Гості стародавнього Києва – XV ст.» (24-25 вересня), лучний турнір «Стріла стародавнього Києва» (8 жовтня). Заходи зберуть учасників з України, Росії, Білорусі, Польщі, Франції, скандинавських країн тощо.
234422	Ukranian	unian.net	2011/07/22	Про це свідчать результати всеукраїнського опитування громадської думки, проведеного протягом 10-20 червня Київським міжнародним інститутом соціології (КМІС).
110516	Ukranian	unian.net	2011/06/04	У Києві та Київській області хмарно з проясненнями, дощ (вночі невеликий). Температура вночі по області 2-7° тепла, вдень 10-15°, у Києві вночі 3-5° тепла, вдень 11-13°.
48099	Ukranian	unian.net	2011/02/04	У Києві та Київській області у неділю без опадів. Вітер східний, 7-12 м/с. Температура вночі по області 1-6° тепла, вдень 11-16°; у столиці вночі 3-5° тепла, вдень 13-15°.
18157	Ukranian	unian.net	2011/06/20	Інформагентство «Наш Продукт», м. Київ, вул. Старокиївська, 10-Г, бізнес-центр «Вектор», корпус А, поверх 1.
184180	Ukranian	unian.net	2011/07/14	Як повідомляв УНІАН, проект рішення, яким Свято-Іллінська парафія Української православної церкви Московського патріархату може отримати у місцях оформлення замовлень на ритуальні послуги, у тому числі на кладовищах Києва, в оренду приміщення для проведення консультацій щодо поховального ритуалу, винесений на сесію Київради.
183237	Ukranian	unian.net	2011/07/04	"Київське ""Динамо"" є фаворитом першого матчу 1/4 фіналу Ліги Європи-2010/2011 проти португальської ""Браги"" за версією авторитетної букмекерської контори ""William Hill""."
237255	Ukranian	unian.net	2011/06/30	Він повідомив, що вже є письмова відмова забудовника від будівництва, та пообіцяв, що найближчим часом це рішення буде внесено на сесію Київради.
293128	Ukranian	unian.net	2011/04/29	Натомість до складу комітету введено міністра надзвичайних ситуацій України Віктора БАЛОГУ, міністра охорони здоров`я України Іллю ЄМЦЯ, першого заступника міністра економічного розвитку і торгівлі України Вадима КОПИЛОВА, голову Київської міської державної адміністрації Олександра ПОПОВА, міністра освіти і науки, молоді та спорту України Дмитра ТАБАЧНИКА, віце-прем`єр-міністра України - міністра регіонального розвитку, будівництва та житлово-комунального господарства України Віктора ТИХОНОВА.
128839	Ukranian	unian.net	2011/06/06	Що стосується розміщення, то, за його словами, для цільових груп УЄФА необхідно 7300 номерів, тоді як на сьогодні є близько 6200. «Проте з урахуванням споруджуваних готелів, думаю, можна вийти навіть на профіцит. Ще одне серйозне питання: організація автобусних перевезень людей за маршрутом Київ-Бориспіль. Поки стабільного циркулювання автобусів немає. Але робота йде », - додав М.ЛУБКІВСЬКИЙ.
